draw by insufficient material | 8/8/5n2/2k5/8/8/3N4/K7 w - - 0 157
white win | 5Q1k/p3r2b/2p1p3/8/nBp2p2/p1P2P2/N3P3/R3K2R b - - 6 55
draw by insufficient material | 8/8/4k3/7K/8/8/8/2n5 b - - 0 110
draw by insufficient material | 8/b7/8/5K2/8/8/8/6k1 b - - 0 216
draw by 50 move rule | 8/8/1R6/8/8/7k/2K5/8 b - - 100 236
draw by insufficient material | N2k4/8/8/8/8/8/8/3K4 b - - 0 171
draw by 50 move rule | 1K6/4R3/8/8/7k/8/8/8 b - - 100 245
draw by stalemate | 3n4/1r1k4/p7/8/b4q2/3p4/8/1n2K3 w - - 0 92
draw by insufficient material | 6k1/8/8/8/8/2K5/5b2/8 b - - 0 121
draw by insufficient material | 8/8/6k1/8/8/8/8/K6b w - - 0 180
draw by 50 move rule | 6k1/8/8/6K1/8/B4N2/8/8 b - - 100 214
draw by insufficient material | 7N/8/K7/8/8/8/6k1/8 b - - 0 171
draw by 50 move rule | 8/1n6/2b5/6p1/8/6k1/8/3K4 w - - 100 201
draw by 50 move rule | k7/8/1p6/1P4K1/8/8/8/2r5 w - - 100 152
draw by insufficient material | 8/8/8/8/8/bk6/8/7K b - - 0 192
draw by threefold repitition | 3K4/8/8/8/7p/7P/k7/8 w - - 85 171
draw by 50 move rule | 8/1k6/8/7B/8/3B4/8/3K4 b - - 100 181
draw by insufficient material | 4k3/8/8/8/8/8/1N6/1K6 w - - 0 188
draw by insufficient material | 8/8/5K2/8/8/5n2/8/6k1 b - - 0 196
draw by 50 move rule | 8/8/3n4/8/8/3K4/5b2/6k1 w - - 100 223
draw by 50 move rule | 8/8/5bK1/3k4/8/8/8/3n4 w - - 100 264
draw by insufficient material | 8/8/3K4/8/8/8/k7/8 b - - 0 212
draw by insufficient material | 8/8/1k6/8/4B3/8/3K4/8 w - - 0 221
draw by 50 move rule | 6k1/1B6/1R6/7R/7P/P7/8/5K2 w - - 100 141
white win | 6nr/prpp2bp/n6k/Pp4pQ/4pNP1/1RPPK2P/5PB1/2R5 b - - 3 28
draw by insufficient material | 8/8/5n2/Nk2K3/8/8/8/8 b - - 0 154
draw by insufficient material | 8/3K4/2n4k/8/5N2/8/8/8 w - - 0 216
draw by insufficient material | 8/2k5/8/8/8/8/8/2K5 w - - 0 171
draw by insufficient material | 1B6/8/8/8/k2K4/8/8/8 w - - 0 242
draw by insufficient material | 8/8/8/8/1K3b2/8/8/3k4 b - - 0 199
draw by 50 move rule | 1K3b2/8/4k3/8/8/7b/8/8 w - - 100 162
draw by insufficient material | 8/8/8/7K/8/8/3k4/8 w - - 0 188
draw by stalemate | 5r1k/7P/8/4p3/4P3/3q4/8/1b2K3 w - - 14 139
draw by insufficient material | 8/3K4/8/8/6k1/8/8/8 b - - 0 155
draw by insufficient material | 8/8/8/8/1B2k3/3b4/8/7K b - - 0 221
draw by 50 move rule | 8/4k3/8/8/8/p7/8/4K3 w - - 100 238
draw by insufficient material | 6k1/8/8/8/8/8/8/1K6 w - - 0 141
draw by insufficient material | 7B/8/8/6K1/8/8/5k2/8 b - - 0 233
draw by 50 move rule | 2k5/6N1/8/8/K7/3N4/8/8 b - - 100 180
draw by insufficient material | 8/3n4/2K5/8/8/8/8/3k4 w - - 0 213
draw by insufficient material | 5k2/8/8/8/2K5/8/8/n7 b - - 0 181
black win | 8/1k6/8/p1p5/4r3/8/r7/3q2K1 w - - 0 124
draw by insufficient material | 1b6/8/1K6/8/8/8/8/1k6 b - - 0 168
draw by insufficient material | 8/2K5/8/8/8/8/8/nk6 w - - 0 246
draw by insufficient material | 6K1/8/8/6b1/8/8/8/3k4 b - - 0 193
draw by 50 move rule | 8/8/3K4/8/8/5k2/2bB4/1b6 w - - 100 228
draw by insufficient material | 8/8/8/8/8/8/2k1b3/6K1 b - - 0 164
draw by insufficient material | 8/8/7N/8/8/8/k7/3K4 b - - 0 233
draw by insufficient material | 8/4N3/8/8/8/7k/3K4/2n5 w - - 0 184
draw by insufficient material | 8/kn6/6K1/8/8/8/8/8 b - - 0 186
draw by insufficient material | 8/7k/8/3B4/8/8/8/4K3 w - - 0 108
draw by 50 move rule | 8/k7/8/4r3/5K2/8/8/8 b - - 100 253
white win | q4n1b/p7/3pp2p/P3r3/1PR1P2P/3NNkr1/3K4/5R2 b - - 1 58
black win | 8/8/8/2p3k1/1R6/8/7q/1r3n1K w - - 10 135
draw by insufficient material | 8/8/8/8/3K2k1/8/8/8 b - - 0 232
draw by 50 move rule | 8/6k1/2R5/8/8/8/8/6K1 b - - 100 228
draw by insufficient material | 2b5/5N2/8/8/8/8/6K1/3k4 b - - 0 126
draw by insufficient material | BK6/8/8/8/8/8/2k5/8 b - - 0 198
draw by insufficient material | B7/6k1/8/3b2K1/8/8/8/8 b - - 0 175
draw by 50 move rule | 8/n7/4K3/8/N7/8/3b4/k7 w - - 100 182
draw by 50 move rule | 1k4K1/8/8/2n5/1b6/8/3b4/7B b - - 100 202
draw by insufficient material | 8/k7/8/1K6/8/8/8/8 b - - 0 258
draw by stalemate | 8/8/7P/1B1R4/3R4/8/6K1/4k3 b - - 8 211
draw by 50 move rule | 5k2/8/8/5n2/8/8/3n2K1/n7 w - - 100 183
draw by 50 move rule | 8/8/8/8/k1r5/8/1K6/8 b - - 100 223
draw by insufficient material | 8/8/8/8/2N5/2k5/8/5K2 b - - 0 154
draw by insufficient material | 8/8/2k5/8/8/4K3/4N3/8 w - - 0 175
white win | 2k3R1/Q7/2K5/3p4/7p/P3p2P/5p2/n2R4 b - - 1 103
draw by insufficient material | 8/8/8/5k2/8/8/1K6/8 w - - 0 189
