draw by 50 move rule | 8/8/8/K3k3/5R2/8/8/8 b - - 100 198
draw by insufficient material | 8/8/7K/8/8/8/8/k7 b - - 0 196
draw by insufficient material | 8/8/8/8/1K6/6k1/8/8 w - - 0 222
draw by insufficient material | 8/3k4/8/8/8/8/5K2/8 b - - 0 174
draw by insufficient material | 8/8/3k4/1K6/8/8/8/8 b - - 0 137
draw by insufficient material | b3k3/8/8/8/7B/7K/8/8 w - - 0 186
white win | R3k1rN/R4rPp/3P4/4p1B1/b2P4/1p6/1K4NR/1B6 b - - 2 50
draw by insufficient material | 8/4N3/5k2/8/8/8/n7/7K b - - 0 226
draw by 50 move rule | 8/2N5/3K4/8/8/8/1N6/k7 b - - 100 249
draw by insufficient material | 8/8/8/8/8/5k1K/8/8 b - - 0 183
draw by 50 move rule | 8/8/8/P6K/8/8/4Q3/1k6 w - - 100 323
draw by insufficient material | k7/8/8/8/6K1/8/8/8 b - - 0 170
draw by 50 move rule | 8/8/8/K7/6k1/5q2/8/8 b - - 100 231
draw by 50 move rule | 8/N7/K7/2k5/8/8/8/8 b - - 100 182
white win | Q7/8/k7/8/1K1B4/1Bn4b/8/b7 b - - 2 130
white win | 3N1R1k/7p/pr5N/4b3/1p2p3/1P6/6R1/1B4K1 b - - 7 74
draw by insufficient material | 8/8/4k3/8/n4K2/4N3/8/8 b - - 0 179
draw by 50 move rule | 8/3k4/6K1/8/8/8/8/5Q2 b - - 100 210
draw by 50 move rule | 8/8/8/5n2/8/4k3/K7/8 b - - 100 224
draw by insufficient material | 8/8/1k6/8/8/8/8/2K5 b - - 0 110
draw by 50 move rule | 8/3k4/8/8/7B/8/8/K7 w - - 100 245
draw by 50 move rule | 8/8/7k/8/8/p7/P7/3K4 b - - 100 262
draw by 50 move rule | 8/3k4/b7/8/1K6/8/8/8 w - - 100 203
draw by insufficient material | 8/8/7k/3K4/8/8/8/8 b - - 0 143
draw by 50 move rule | 4k3/8/p7/P5R1/8/8/8/K7 b - - 100 154
draw by stalemate | k1N5/2K5/8/8/8/8/8/5B2 b - - 2 173
draw by 50 move rule | 8/4k3/8/p7/P2K4/5B2/8/3B4 b - - 100 245
draw by insufficient material | 8/6k1/8/8/8/8/4K3/8 b - - 0 194
draw by 50 move rule | 4K3/8/8/8/k7/7P/3N4/8 b - - 100 260
draw by 50 move rule | 3K4/3p3p/3P3P/8/6k1/8/2b5/8 w - - 100 201
draw by insufficient material | 8/6k1/8/8/8/5K2/8/8 w - - 0 177
white win | 8/8/P7/6Qk/3K3P/7R/8/8 b - - 46 150
draw by insufficient material | 7k/8/1N6/8/7b/7K/8/8 b - - 0 183
draw by 50 move rule | K7/8/8/1n6/3B1N2/7B/8/1k6 b - - 100 179
draw by stalemate | 2k5/5Q2/8/8/1R6/1P1R4/8/6K1 b - - 23 144
draw by 50 move rule | 8/1b6/4k3/8/5K2/8/8/8 b - - 100 164
draw by 50 move rule | 8/8/2k5/8/8/7r/K7/8 w - - 100 198
draw by insufficient material | 8/8/2K5/2N5/8/7k/8/n7 w - - 0 191
draw by insufficient material | 8/8/8/3k4/6K1/8/8/8 w - - 0 168
draw by 50 move rule | 8/8/8/p1k5/P7/8/3K4/8 w - - 100 238
draw by insufficient material | 8/8/8/7K/8/2k5/8/8 b - - 0 205
draw by stalemate | 5k2/8/8/8/1r6/8/8/Kb6 w - - 5 164
draw by 50 move rule | 8/3R4/8/4k3/8/3K4/8/8 b - - 100 284
draw by insufficient material | 8/8/8/8/3K4/8/5k2/8 w - - 0 210
draw by 50 move rule | 5r2/8/4p1k1/1q2P3/4P2K/8/8/8 w - - 100 178
draw by 50 move rule | K7/8/8/3p4/p2P4/P7/1k6/8 w - - 100 162
draw by 50 move rule | 5k2/8/8/8/p7/P4K2/8/8 w - - 100 187
draw by insufficient material | 8/8/8/8/7K/8/8/2k5 b - - 0 180
white win | 3R4/8/7p/3RPP1k/4N1P1/1p5K/2p5/1n6 b - - 0 66
draw by insufficient material | 8/8/8/8/8/3k4/5K2/8 b - - 0 218
draw by insufficient material | 6k1/8/8/8/8/8/8/K7 b - - 0 251
draw by 50 move rule | 6B1/8/8/7K/2R5/4k3/8/8 b - - 100 225
black win | 7k/6br/8/8/N3p3/1p6/7p/5q1K w - - 0 103
draw by 50 move rule | 7k/8/8/8/6n1/8/2K5/8 b - - 100 220
draw by insufficient material | 8/7k/8/8/6K1/8/8/8 b - - 0 191
draw by insufficient material | 8/8/8/8/6k1/8/8/5K2 w - - 0 203
black win | r4k1r/pb1n1p1p/8/1pb1P1p1/6Pn/1PP5/P3BP1P/2RQNK1q w - - 0 25
black win | rnb1kbnr/pppp1pp1/8/4p2p/2P3Pq/5P2/PP1PP2P/RNBQKBNR w KQkq - 1 5
draw by insufficient material | 8/8/8/2n5/7k/4B3/8/2K5 w - - 0 158
draw by 50 move rule | 8/k5N1/8/8/1K6/8/8/8 w - - 100 247
draw by insufficient material | 8/n3k3/8/8/8/7B/8/5K2 w - - 0 217
draw by 50 move rule | 8/8/3n4/8/2b5/2k3K1/8/5q2 b - - 100 207
draw by 50 move rule | 5k2/8/3p4/3P1K2/8/8/8/6b1 b - - 100 260
draw by 50 move rule | 8/8/6k1/8/1K1N4/8/8/8 w - - 100 247
draw by insufficient material | k7/8/8/3K4/8/2B5/8/1b6 b - - 0 122
draw by 50 move rule | 2R5/8/8/3k4/8/6K1/8/8 w - - 100 226
