black win | 3r4/N5q1/7R/P2b1p2/1b1k3p/2p1p2P/4P3/K5r1 w - - 2 61
black win | 4k1n1/1p1b2r1/2pp2pN/2n1b3/p1P1P3/P2R1pP1/1rK5/4r3 w - - 0 43
black win | 1n1k1bnr/1p2ppp1/3p4/P1p1PQ1p/1pP3PP/8/3r1P1R/RNq1KBN1 w Q - 1 21
black win | Q3r1k1/6p1/6P1/1PPp1q2/5p2/N1BKb3/P3P3/1R6 w - - 9 60
black win | 3k4/8/rP6/p3P1p1/B4pp1/1p6/8/K1q5 w - - 2 70
draw by insufficient material | 7B/1k2b3/8/8/8/8/7K/8 b - - 0 118
draw by insufficient material | 8/2k5/8/7K/8/8/8/8 b - - 0 189
draw by insufficient material | 3K4/8/8/8/k7/8/8/B7 b - - 0 122
draw by insufficient material | 8/3k4/8/8/8/8/8/7K w - - 0 188
black win | 1rb2r2/p4k1p/7q/nppPbppP/2p1p2B/PPK1P3/R1PN1PPn/5BR1 w - - 1 29
100 game(s) computed in 386493ms
