black win | 6n1/6p1/1p1b4/5k1p/PpN2p1P/2p2PqK/8/RN4B1 w - - 6 59
black win | 4R3/p7/2k3p1/n2n1p2/P1b1KB2/1P2P2r/1q6/8 w - - 0 60
black win | 3r2n1/3Pkpb1/5p2/1p1R1P2/4P3/1pp3BP/1q2B1R1/1K4N1 w - - 2 47
white win | r1bQ1k2/7r/1p4Q1/2p1n3/PpP3n1/1P1P4/R5K1/2b5 b - - 0 51
white win | 1nbQ1k1r/rp4p1/p1p1p3/2q2pN1/Rb5p/1PP1PP2/3P1KPP/1NB2B1R b - - 2 17
draw by threefold repitition | 8/8/8/P7/3K4/4B3/4k3/8 w - - 17 215
white win | 6r1/2pp2r1/B5pp/5p2/1P1Qk1P1/P1P1P1P1/6K1/1RB5 b - - 8 40
white win | rn1Q1k2/5ppr/1p1P3p/p6n/PP1Pb2P/R3b2R/4PPP1/1N2KBN1 b - - 0 20
white win | rnb1kQ2/1p1p4/7B/1pn2ppp/1b6/P1p2PPP/1p1NP2R/3RKB2 b q - 3 26
white win | rnbqk1nr/5Qp1/3pP2p/pppP4/PbP5/2N4B/1P2PP1P/R1B1K1NR b K - 2 16
black win | 2b1k2r/p2pn2p/n1p5/q3pp2/2pP4/4Q3/P2BPPPP/1r2KBNR w Kk - 0 18
black win | r3kbnr/1b2p1p1/2p2Q1p/3p2p1/1p3PP1/P3Pn1B/NPPK3P/1RB2q2 w - - 2 24
white win | 1rk5/2Q1pp2/7r/1p1pPP2/3B4/PP2P2p/2R2K1P/R7 b - - 0 39
black win | 7k/3P4/8/2p3p1/1p5K/2r5/6r1/3b4 w - - 0 83
white win | r1Nk1R2/3n4/4p3/1p2B1P1/4P1bK/8/p7/3R1n2 b - - 12 67
white win | 3R1k2/2R5/4B3/6p1/pp6/P6r/1b3r2/1K6 b - - 11 73
black win | 6n1/N7/5p2/5rk1/2p5/p3Pp2/1q6/1K6 w - - 6 77
black win | r4b2/5k2/ppnp4/3N1b1r/8/PP3P1p/2P1p1q1/1R4KR w - - 0 37
white win | 1R5b/r7/7P/k3r1p1/6P1/R2N4/3K4/3n4 b - - 1 101
white win | 3b1R1k/2n3rp/2p3p1/8/r1p1p1P1/p1Q4P/P1B5/2N3KR b - - 0 47
