black win | 4rrk1/ppp2ppp/5q2/1N1pp3/1b2n2P/5bP1/PPnP1PB1/R1B1KR2 w Q - 3 16
black win | r1b1k2r/ppp2ppp/8/3pp3/PbBnn3/5P2/1PPP1qP1/RNBQ1KNR w kq - 4 10
black win | 4rrk1/ppp2ppp/5q2/3pp3/1P2n2P/N2nP3/P2P2P1/R1Bb1KR1 w - - 0 16
black win | r4rk1/ppp2ppp/B1n5/3pp3/1b4QP/3b2PR/PPPP2P1/RNB1KqN1 w - - 3 13
black win | r3k2r/ppp2ppp/8/3pp3/1b1nn1b1/PQP1P3/1P3qPP/RNB1KB1R w kq - 0 17
black win | 3r2k1/pp3p1p/5q2/1B1pp3/2N1n1pP/1P3bP1/2P2PR1/1r2K3 w - - 0 22
black win | 4rrk1/p4pBp/5n2/3pp1p1/3nb3/q1K1b3/P4P1P/5B1R w - - 1 26
black win | 4r1k1/1p5p/1p6/P2pp2r/4p1bK/1Pp5/3P3P/2B3r1 w - - 10 35
black win | 5rk1/4r3/5K1p/p1bpp3/P2pb3/1p1n3P/1P3p2/3R4 w - - 8 40
black win | 4rrk1/ppp3pp/8/3ppp2/B1qn2P1/3K3P/3P1bP1/RNBQ2NR w - - 3 19
black win | 4rrk1/p7/8/2bq1pp1/4n2P/1p1b2p1/3p2P1/1R4KR w - - 2 32
draw by threefold repitition | 3r1k2/7p/7P/1p6/p1p5/P1P5/3pppp1/1K6 b - - 9 44
black win | r4rk1/ppp2ppp/2n5/3pp3/1b2n1bP/2N5/P1PP1qPR/R1BQKBN1 w Q - 0 11
black win | r4rk1/ppp2ppp/8/3qpP2/1P2n1b1/2P5/RPn1PKPP/1NB2BNR w - - 3 12
black win | 4rrk1/pp5p/8/P2bpp2/1b2n1pP/3pPn1K/1P1P2P1/RNB4R w - - 0 25
black win | 6k1/7p/8/1K1p3P/2r1p3/3p4/3P4/rr4B1 w - - 0 59
draw by threefold repitition | 6k1/4K2p/7P/3b4/8/4p3/3pp1p1/8 b - - 8 100
black win | 4r1k1/1p5p/8/1Rqpp3/3n2p1/N3p2B/P3b2P/3KBr1R w - - 0 25
black win | 4r1k1/pp5p/3q4/P1bp1pp1/4np1P/R2P1Kr1/1P2P2R/8 w - - 0 25
draw by threefold repitition | 5k2/8/7p/1p5P/1P6/1P6/8/2K5 b - - 11 92
draw by threefold repitition | 5k2/8/8/6K1/2P5/pN6/pp6/8 b - - 31 87
black win | 7B/5k2/8/5P2/8/P7/4r3/1Nr4K w - - 0 73
black win | 4rrk1/p1p2p1p/2p4P/4p3/Pb2b1P1/BP1pn1P1/6q1/RN4KR w - - 2 22
black win | 4rrk1/ppp3p1/3q4/3pppN1/1bP1n1bP/PP2P3/2nP1P2/RNB1KB1R w KQ - 0 14
black win | r3k2r/ppp2ppp/8/1N1pp3/1b1nbq2/4K3/PPP2PPP/R4BNR w kq - 0 12
black win | 4rrk1/p1p4p/2n4P/3pb3/1P5R/3P2p1/p1P3K1/R1B2q2 w - - 0 28
100 game(s) computed in 6638586ms
