black win | 4qb2/r1p2n2/3pb1Pk/Pp1K1pp1/PRPP1pPN/4N3/3BP1Q1/5B1R w - - 2 39
50 move count reached | 8/7K/8/6k1/8/8/8/7r w - - 100 212
50 move count reached | 1K6/8/8/8/7b/8/7k/8 b - - 100 238
50 move count reached | 8/8/8/6K1/8/8/1k6/7b w - - 100 205
50 move count reached | 8/2K5/3B4/k1n5/8/4R3/8/8 w - - 100 225
50 move count reached | 8/6K1/5N2/8/8/2n5/2k5/3R1r2 w - - 100 139
50 move count reached | 7K/8/8/8/3k4/8/8/8 w - - 100 286
draw | 3k4/8/4B3/8/8/8/5nK1/8 w - - 0 103
50 move count reached | 8/7K/k7/8/8/8/8/8 w - - 100 263
50 move count reached | 6K1/2k5/8/8/8/8/8/8 b - - 100 233
stalemate | 1N6/8/8/4K3/8/8/4Q3/7k b - - 92 242
50 move count reached | 5k2/8/8/8/8/8/8/2K5 b - - 100 207
50 move count reached | 8/8/k4K2/8/8/8/8/8 b - - 100 283
black win | 1r5b/k2n3P/8/r6R/2KpPp2/3P4/2q5/8 w - - 3 96
50 move count reached | 8/4K1b1/4b3/8/2k5/8/8/7r w - - 100 180
50 move count reached | 8/8/4b3/k7/8/5K2/8/7b b - - 100 228
draw | 8/8/7k/8/8/8/5B2/5K1b w - - 0 188
50 move count reached | 8/8/7r/2k5/8/8/2KR4/8 b - - 100 194
white win | 5k1B/4nQ2/b7/P1R1PPN1/n3B1pP/P7/3r4/2K1bR2 b - - 2 51
50 move count reached | 8/8/8/8/8/6k1/1K6/7n w - - 100 222
50 move count reached | 8/8/4K3/8/8/8/2k5/7b b - - 100 296
stalemate | 1b6/8/3b4/8/8/8/5k2/7K w - - 63 230
50 move count reached | 8/4K3/8/8/5k2/8/8/8 w - - 100 322
white win | 8/8/8/8/8/8/7K/7k b - - 42 241
stalemate | 8/8/8/8/2N5/8/8/1K5k b - - 26 163
50 move count reached | 8/8/K7/8/8/8/7b/k6r w - - 100 247
50 move count reached | 8/8/8/8/K7/4k3/8/8 b - - 100 175
50 move count reached | 8/8/8/8/k7/4K3/8/8 b - - 100 223
50 move count reached | 8/8/1B5k/8/8/6K1/8/8 b - - 100 307
50 move count reached | 8/8/8/8/8/1k6/8/5K2 b - - 100 294
50 move count reached | 8/6k1/8/8/8/8/K7/4B3 b - - 100 205
stalemate | 8/8/8/1N6/8/8/1K6/7k b - - 80 192
50 move count reached | 8/8/8/8/4K3/8/1k5N/8 w - - 100 255
50 move count reached | 8/8/8/8/8/7k/8/5K1r b - - 100 167
50 move count reached | 8/8/8/K7/8/6k1/8/8 b - - 100 253
draw | 8/2k5/5K2/8/8/6N1/8/7b w - - 0 244
50 move count reached | 8/1p6/1P6/6K1/8/1k6/8/7q w - - 100 204
50 move count reached | 8/8/1k6/5K2/8/8/8/7n b - - 100 248
50 move count reached | 1k6/8/8/8/K6p/7P/8/8 b - - 100 229
50 move count reached | 8/4k3/8/8/8/8/4N1K1/8 w - - 100 326
50 move count reached | 8/3k4/8/8/8/K7/7p/7b b - - 100 304
50 move count reached | 8/8/8/3k3K/3r4/3r4/4n3/8 b - - 100 187
50 move count reached | 8/K7/8/8/8/8/6k1/1N5q b - - 100 197
white win | 4k2R/K5R1/8/4p3/8/3q3p/7P/N7 b - - 17 120
50 move count reached | 3R4/8/k7/8/8/8/8/2K5 b - - 100 184
stalemate | 8/8/BN1p4/3P4/PK1k4/8/P3R3/7n b - - 1 97
white win | 8/1B6/Pp5P/4P3/3K4/8/8/7k b - - 0 191
draw | 8/8/4K3/8/8/4k3/8/B6b w - - 0 199
stalemate | 8/8/8/p3k3/P5r1/3p4/2q5/7K w - - 16 121
stalemate | 8/8/8/K7/8/8/8/1B5k b - - 56 177
50 move count reached | 8/2k5/8/8/8/8/1K6/8 b - - 100 262
white win | 1r3k1Q/pr3p2/b3pK2/p2p4/P2P3P/2p1B1b1/2n5/3N2NR b - - 1 46
draw | 8/4k3/8/8/1K6/8/8/5B1b b - - 0 181
stalemate | 7R/8/4N3/8/3K4/8/7n/7k b - - 2 169
white win | 3nk3/1bpp1p2/1P3Np1/3Rr3/q5p1/BpP5/3KPP2/r1R5 b - - 1 36
stalemate | 8/5K2/8/7p/7P/8/8/7k b - - 54 223
50 move count reached | 8/1K2b3/8/8/8/8/k7/8 b - - 100 190
50 move count reached | 6K1/8/8/8/8/8/8/1k6 w - - 100 196
black win | 8/3B4/2bN1k1p/p1P3p1/P5PP/4r2K/3r4/4b3 w - - 2 89
50 move count reached | 1b6/4R3/4n3/1k6/3R3p/2K4P/8/8 w - - 100 186
black win | 8/7r/6r1/1pN5/1P6/4k3/7K/8 w - - 30 132
50 move count reached | 8/8/1k3K2/8/5b2/8/8/8 b - - 100 193
stalemate | 8/8/8/4K3/8/8/8/7k b - - 28 153
50 move count reached | 8/2K5/8/p7/p5k1/P7/8/8 b - - 100 257
draw | 8/6Bk/1n6/8/8/8/7K/8 w - - 0 105
stalemate | 4B3/4R3/4P2k/PP6/6K1/8/8/8 b - - 0 133
50 move count reached | 7k/7b/3KN3/1p6/pP6/P7/8/8 w - - 100 146
50 move count reached | 8/7B/B7/8/3k4/8/7K/8 b - - 100 236
50 move count reached | 8/6R1/4k3/2p5/2P5/3N4/8/2K5 b - - 100 152
white win | r3k2Q/6R1/P7/8/2K1p1n1/8/1b6/3B4 b - - 0 106
50 move count reached | 4n2b/7n/8/8/3k4/8/8/K7 w - - 100 197
50 move count reached | 8/5K2/8/8/6k1/8/8/7r b - - 100 231
50 move count reached | 8/3K2k1/8/8/8/5n2/8/7q b - - 100 258
draw | 8/8/2N1k3/8/5K2/8/4n3/8 w - - 0 148
50 move count reached | 7K/8/2B5/4k3/8/8/8/8 w - - 100 224
50 move count reached | 8/8/R7/1k6/7R/2K5/8/8 w - - 100 209
50 move count reached | 1k5K/8/4q3/8/8/8/2r5/7n w - - 100 263
draw | k6K/8/2n5/8/4B3/8/8/8 b - - 0 151
stalemate | 8/8/1K6/5P2/8/8/8/4B2k b - - 32 145
50 move count reached | 2K5/8/1k6/8/3n4/8/B6N/8 b - - 100 200
50 move count reached | 8/8/3k4/8/8/8/8/5K2 b - - 100 286
stalemate | 8/8/8/8/8/2K5/8/7k b - - 0 148
50 move count reached | 8/8/2K5/6k1/8/8/8/8 b - - 100 271
draw | B7/8/7K/8/8/4k3/8/5b2 b - - 0 175
50 move count reached | 8/7N/8/1k6/8/8/3K4/7R w - - 100 281
stalemate | 7k/8/4p1Q1/3pP3/1p1P1P2/1P6/1B1R4/2R2K2 b - - 1 53
50 move count reached | 2K3n1/8/5k2/8/8/8/8/7r w - - 100 167
draw | 8/2N5/4n2K/k7/8/8/8/8 w - - 0 146
50 move count reached | 8/1k6/2N5/8/8/8/2K5/2B4b b - - 100 184
50 move count reached | 8/2k5/8/8/8/8/5K2/7r b - - 100 245
draw | 8/1k6/1n6/5B2/8/8/7K/8 w - - 0 154
50 move count reached | 8/8/8/3K4/8/8/3k4/7q w - - 100 198
stalemate | 8/8/8/1p3k2/1P6/KP5p/2r5/8 w - - 26 122
50 move count reached | 8/8/3K4/8/8/8/k7/8 w - - 100 220
draw | 8/8/5k2/8/n1B5/8/8/K7 w - - 0 134
50 move count reached | 8/2b1n3/3k4/8/6K1/8/8/7q b - - 100 231
50 move count reached | B7/8/8/5K2/8/8/1k6/8 b - - 100 253
stalemate | 8/2K2P2/7P/k7/2Q2N2/8/8/7b b - - 8 161
50 move count reached | 8/8/1k6/p7/P7/8/8/5K1b b - - 100 197
50 move count reached | 8/8/8/5k2/5N2/8/n1K5/7n w - - 100 190
black win | 2b5/5k2/nR1r3n/p2P4/4B3/4p3/3bK3/1r3q2 w - - 3 74
white win | B4Q1k/1R5N/8/6P1/P2r4/K3p3/7p/7B b - - 2 90
50 move count reached | 8/1K6/8/8/1p2k3/1P2b3/8/8 b - - 100 172
50 move count reached | 4r3/6k1/8/8/8/8/K7/8 w - - 100 195
50 move count reached | 6k1/1p6/1P4p1/6Pp/7P/8/8/1K6 w - - 100 165
white win | 3k4/8/2Q2B2/6p1/4P2p/1p3R1P/5K2/6r1 b - - 7 89
50 move count reached | 8/2K5/8/1b6/8/2k5/8/7r w - - 100 160
50 move count reached | 8/4k3/8/3K4/8/8/5B2/8 w - - 100 294
50 move count reached | 3k4/8/8/6K1/R7/8/8/7b b - - 100 220
draw | 2K5/6N1/8/8/8/4k3/8/7b w - - 0 178
draw | 8/4N3/8/8/3b2k1/8/8/5K2 w - - 0 116
50 move count reached | 8/8/8/8/k7/8/8/6K1 w - - 100 201
50 move count reached | 8/3rN3/3k4/8/8/8/2N2K2/7r b - - 100 191
50 move count reached | 8/8/3B4/8/4K3/2k5/8/8 b - - 100 172
50 move count reached | 8/8/8/8/4k3/7K/7p/7r w - - 100 252
50 move count reached | 8/8/8/8/8/8/7k/K7 b - - 100 216
white win | 8/2K5/8/3b1b2/8/6N1/8/7k b - - 57 152
50 move count reached | 3k4/8/1K6/8/8/8/8/8 w - - 100 269
50 move count reached | 8/k7/8/8/1K6/8/8/8 w - - 100 239
stalemate | 8/8/8/8/7p/2K4P/8/7k b - - 43 174
50 move count reached | 1k6/8/8/8/8/8/3K4/7r w - - 100 239
stalemate | 8/5K2/5N2/8/8/8/8/7k b - - 85 398
50 move count reached | 5K2/8/8/8/8/6k1/8/7r w - - 100 157
50 move count reached | 8/8/8/8/5K2/1k6/7p/7b w - - 100 229
50 move count reached | 7k/8/8/6B1/8/8/5K2/7r w - - 100 194
50 move count reached | 8/8/8/2Q5/8/2k5/3R3K/8 b - - 100 191
50 move count reached | 3k4/8/8/7p/K6P/8/8/8 w - - 100 240
50 move count reached | 2K5/7k/8/8/5p2/5P2/3N4/b7 b - - 100 174
draw | k7/3n4/4B3/6K1/8/8/8/8 w - - 0 167
50 move count reached | 8/8/1K3k2/8/4B3/8/8/8 b - - 100 266
stalemate | 4K3/8/8/8/8/8/8/7k b - - 22 242
white win | r7/7p/P7/2n1Q3/1p1pkP2/Rn5P/6K1/5BNR b - - 15 62
black win | rnb1k1nr/1ppp1ppp/p7/4P3/1b4Pq/P7/1PPPP2P/RNBQKBNR w KQkq - 1 5
white win | N2k4/3P4/2P2B2/1P5b/1K6/8/P7/8 b - - 0 106
50 move count reached | 5k2/8/8/1B6/8/5K2/8/8 b - - 100 170
draw | 8/8/8/8/b7/7k/1K6/4B3 b - - 0 139
white win | 2k1rqn1/2Q3br/4pp1p/6pP/4PBP1/2pP1PKR/8/3b1RN1 b - - 2 38
50 move count reached | 8/8/4BK2/6p1/6P1/5k2/8/2b5 b - - 100 159
50 move count reached | 7K/8/8/8/3k4/8/8/8 b - - 100 318
50 move count reached | 8/6k1/1b6/8/1K6/8/8/7q w - - 100 170
stalemate | 8/1K2N3/8/2P5/8/8/8/7k b - - 20 245
50 move count reached | 8/5k2/8/8/2K5/8/8/7q b - - 100 279
50 move count reached | 6K1/8/8/8/8/8/8/3k3n w - - 100 201
50 move count reached | 1k6/8/2B5/8/8/5Kb1/8/R7 b - - 100 224
draw | N7/8/8/K7/8/8/8/5kn1 w - - 0 163
draw | 3B4/6K1/8/8/8/2k5/8/7n b - - 0 156
stalemate | 7Q/5k2/4R3/p7/P1N5/4P1NB/5p1B/5K1b b - - 7 73
black win | 5r1r/4kp1p/4p3/1p1p2P1/4BPPn/8/1bPPN3/qKBR1R2 w - - 3 38
50 move count reached | 8/8/6k1/8/8/8/6K1/7q b - - 100 270
50 move count reached | 8/6K1/8/1b6/1b6/8/7k/B6n b - - 100 184
stalemate | 8/8/7P/3B4/5p2/5P2/2K5/7k b - - 0 132
50 move count reached | 2B5/8/8/8/4K3/8/3k4/7r w - - 100 224
50 move count reached | 8/8/8/2nk4/8/2K5/8/8 w - - 100 285
50 move count reached | 8/8/K7/8/6k1/8/8/7r w - - 100 201
50 move count reached | 8/6k1/8/1r6/8/8/8/6Kn b - - 100 220
white win | 8/8/8/5q2/3K4/8/7R/7k b - - 23 247
50 move count reached | 8/8/8/5k2/8/6K1/8/8 b - - 100 356
50 move count reached | k7/4K3/8/8/8/8/8/2b5 w - - 100 170
draw | 8/7n/8/8/3K4/8/8/N4k2 b - - 0 147
black win | 1nbk3N/1p6/5p2/5pr1/pb1pp2P/1P6/P2NPR2/2r1K2N w - - 0 54
draw | 8/4k3/b6B/3K4/8/8/8/8 w - - 0 129
50 move count reached | 8/8/8/8/8/3K4/8/4k2q b - - 100 216
50 move count reached | 8/8/2K5/6k1/8/8/8/8 w - - 100 271
50 move count reached | 5k2/8/8/3N3K/8/8/8/7r w - - 100 262
white win | 3k2R1/3N4/3PP3/8/8/2r5/4n3/1b2K2b b - - 2 99
draw | 8/5k2/8/8/1K6/n7/8/3B4 w - - 0 189
50 move count reached | 8/8/8/8/8/2b5/4K3/k6r b - - 100 203
black win | 6K1/2n3q1/8/1k5n/8/8/8/8 w - - 79 213
50 move count reached | 8/8/3B1k2/8/6K1/6N1/8/7n b - - 100 181
50 move count reached | 8/8/8/1K6/8/k7/8/8 b - - 100 232
50 move count reached | 4k3/8/8/8/8/1K6/8/8 b - - 100 213
50 move count reached | 8/8/8/6k1/8/1K6/8/8 b - - 100 219
black win | 4b3/8/NB4p1/P5Pp/3q4/1k6/8/1K2r3 w - - 6 74
stalemate | 8/8/8/8/1P4B1/8/K7/7k b - - 70 194
50 move count reached | 4k3/8/8/1K6/8/8/8/8 w - - 100 218
