black win | 3r4/8/b2k3b/Kq5p/7N/8/8/4r3 w - - 0 90
draw by 50 move rule | 4n3/8/6R1/8/2K5/8/2k5/8 w - - 100 229
draw by 50 move rule | 8/8/7p/7P/8/2k2K2/8/8 b - - 100 208
draw by 50 move rule | 8/8/5n2/k7/7K/8/8/b7 w - - 100 170
draw by 50 move rule | 8/8/5k2/Kb1b4/8/8/8/2q5 w - - 100 214
draw by insufficient material | 3Bk3/8/8/7K/8/8/8/8 w - - 0 198
draw by insufficient material | 8/8/1B6/1k6/8/8/6K1/3b4 w - - 0 209
draw by insufficient material | 6B1/8/8/8/4k3/7K/8/8 b - - 0 190
draw by insufficient material | 8/5k2/7K/8/8/8/8/3b4 w - - 0 150
draw by insufficient material | 8/8/8/2k5/8/5K2/8/5b2 b - - 0 147
draw by insufficient material | 7K/8/8/8/8/5k2/8/5n2 w - - 0 177
draw by insufficient material | 8/8/8/8/5k2/8/8/5K2 w - - 0 131
black win | 3k4/R1r5/P2p4/1Q6/3Prbp1/2P3P1/4bK2/5q2 w - - 4 63
white win | 8/7k/8/2N3R1/8/8/7R/3K4 b - - 2 142
draw by threefold repitition | 8/8/8/p5k1/P7/8/8/K7 b - - 53 207
draw by insufficient material | N7/2K5/8/8/8/8/8/3k4 w - - 0 183
draw by 50 move rule | 8/8/8/7p/3k1K1P/8/8/8 b - - 100 183
black win | 8/8/6k1/8/1p4r1/3b2Np/1p4qP/6K1 w - - 7 98
draw by threefold repitition | 5K2/R7/8/6k1/8/8/8/8 w - - 75 245
draw by insufficient material | 8/8/1k6/8/8/5n2/1K5N/8 b - - 0 142
draw by insufficient material | 8/8/2k4n/8/8/8/5K2/8 b - - 0 242
black win | 5bkr/4p3/8/1p1p2Pp/r2P2n1/3Pp1Pb/nBBR3P/3RKq2 w - - 0 37
black win | 8/P2k4/8/2b4p/Kq6/8/8/2b5 w - - 1 140
draw by stalemate | 6k1/6P1/8/p5r1/8/2p2n1K/8/8 w - - 5 129
draw by stalemate | 8/8/6K1/8/7k/5Q2/8/8 b - - 13 188
draw by insufficient material | 8/1k6/8/8/8/8/n3K3/8 w - - 0 163
draw by insufficient material | 8/2K5/8/8/8/6k1/1b6/8 b - - 0 177
draw by insufficient material | 8/8/3bB3/8/8/8/3K4/7k w - - 0 150
draw by insufficient material | 8/8/8/2K5/B7/n1k5/8/8 b - - 0 129
white win | 1n5N/ppp4p/3p1k2/3Pb1Q1/2P2r2/NP2np2/PR6/B1K2BR1 b - - 0 38
draw by insufficient material | 4k3/8/8/8/N7/8/4K3/8 w - - 0 196
