white win | 2R3R1/4N3/P2P3P/8/7k/8/8/K6R b - - 2 169
draw by insufficient material | 8/1k6/8/8/8/8/1K6/8 b - - 0 152
draw by insufficient material | 8/8/8/8/8/8/K3k2N/8 w - - 0 148
draw by insufficient material | 2k5/8/8/1K6/8/8/8/8 b - - 0 159
draw by insufficient material | 8/8/8/8/8/4k3/8/6KB w - - 0 164
black win | 2r5/p7/P4b2/7N/6PP/pb2k3/3p4/3K1R2 w - - 0 62
draw by insufficient material | 8/8/8/6K1/8/8/5k2/4n3 w - - 0 140
draw by insufficient material | 1B6/5k2/8/K7/8/8/8/8 b - - 0 141
draw by insufficient material | k7/8/8/8/8/8/2K5/b7 b - - 0 161
draw by insufficient material | 8/3k3n/8/8/8/4K3/8/8 b - - 0 200
draw by insufficient material | 8/8/8/8/8/1K5k/8/8 b - - 0 165
white win | 4Q3/r1bk4/4R3/7p/p6P/P7/2K5/8 b - - 0 74
draw by 50 move rule | 2k5/8/8/8/8/8/2B5/B1K5 w - - 100 153
white win | 4nk1R/8/2N2P2/7B/3P4/1P1R4/5Q2/3K3n b - - 9 89
draw by insufficient material | 8/8/8/1K2k3/8/3n4/8/8 b - - 0 114
white win | 3K4/4rk2/8/5Q2/8/8/8/6R1 b - - 26 222
black win | 8/N2R4/3Pk3/2P2b2/8/2P2n2/8/6rK w - - 12 95
draw by 50 move rule | 8/8/2K2n2/7R/8/2k5/2b5/8 b - - 100 178
draw by insufficient material | 8/8/3N4/1b5k/8/7K/8/8 b - - 0 153
draw by insufficient material | 8/8/8/8/8/2K5/8/k7 w - - 0 200
draw by insufficient material | 3B4/4k3/K7/8/8/8/8/8 b - - 0 120
draw by insufficient material | 2k5/8/8/8/8/7b/5K2/B7 w - - 0 177
draw by insufficient material | 8/8/1k6/8/8/3N4/8/5K2 w - - 0 154
draw by threefold repitition | 8/k7/8/2P2K2/4P3/7P/B7/8 w - - 21 122
draw by 50 move rule | 8/8/5bK1/8/1p6/k2B4/8/8 w - - 100 210
draw by 50 move rule | 8/2b5/7p/7P/5k2/8/8/7K b - - 100 271
draw by insufficient material | 7b/3k4/8/8/K7/8/8/8 b - - 0 168
draw by insufficient material | 7k/2B1b3/8/8/8/8/6K1/8 b - - 0 212
draw by 50 move rule | 8/8/6p1/4k1Pp/7P/8/8/6K1 b - - 100 234
draw by insufficient material | 8/8/3k4/8/8/3N2K1/3b4/8 b - - 0 91
draw by insufficient material | 3k4/6K1/8/8/8/8/8/8 w - - 0 180
draw by insufficient material | 8/8/8/k7/8/b6K/8/8 b - - 0 154
draw by insufficient material | 8/8/1K6/8/8/7k/8/8 w - - 0 246
white win | 2Bk4/n2Q4/r4p2/3PpN1P/2RP4/B1P1nPP1/3K2R1/8 b - - 8 47
black win | 2q5/5k2/8/6rN/7P/7K/5B1B/8 w - - 9 122
draw by insufficient material | k7/6N1/8/8/8/8/4K3/b7 w - - 0 165
black win | 4k3/7N/8/p3p2p/1P6/1P4N1/pq4r1/Kb6 w - - 2 92
draw by insufficient material | 8/8/8/8/8/1k6/8/4NK2 w - - 0 220
draw by 50 move rule | 8/8/8/4n3/8/4k3/1K6/6n1 w - - 100 214
draw by insufficient material | 8/6B1/2k5/8/8/3b4/8/1K6 w - - 0 171
draw by insufficient material | 8/8/2k5/8/8/4K3/8/8 w - - 0 276
black win | rn1k4/3qpnb1/ppp3b1/1B1p2Bp/1P1Kr2P/N2P2Q1/P1P2PPN/4R1R1 w - - 0 33
draw by insufficient material | 6B1/8/3n4/3K4/1k6/8/8/8 b - - 0 167
draw by insufficient material | 8/4k3/8/K7/8/8/8/8 b - - 0 192
draw by insufficient material | 8/7K/8/8/3k4/8/8/8 w - - 0 199
draw by insufficient material | 8/8/7k/8/1K6/8/8/3N4 b - - 0 136
draw by 50 move rule | 4K3/4b3/8/8/4B3/6b1/5kr1/8 w - - 100 234
random--random 50 game(s) computed in 32618ms
